Time (ps),EPTOT
156.0,-905069.0295
156.2,-905208.0178
156.4,-905350.7816
156.6,-905161.4396
156.8,-905258.5065
157.0,-905358.7373
157.2,-905616.5293
157.4,-904906.9687
157.6,-905611.0259
157.8,-905491.8565
158.0,-905511.8281
158.2,-905542.4049
158.4,-905534.3693
158.6,-905380.0963
158.8,-905568.3383
159.0,-905271.4681
159.2,-905569.5145
159.4,-905534.6231
159.6,-905718.3775
159.8,-905938.0567
160.0,-905969.2391
160.2,-905572.3637
160.4,-906137.9724
160.6,-905836.2686
160.8,-905520.9871
161.0,-905934.6645
161.2,-905575.457
161.4,-905386.9964
161.6,-905416.6555
161.8,-905681.893
162.0,-905270.6332
162.2,-906006.6501
162.4,-905415.6527
162.6,-905399.6973
162.8,-905675.0397
163.0,-905655.8426
163.2,-906104.4888
163.4,-906131.5741
163.6,-906395.4797
163.8,-905960.7821
164.0,-905553.6522
164.2,-905796.8831
164.4,-905720.3516
164.6,-905701.4204
164.8,-905471.04
165.0,-905419.4064
165.2,-905743.2449
165.4,-905872.5119
165.6,-905877.4628
165.8,-906062.3954
166.0,-905688.2033
166.2,-905718.1471
166.4,-905876.2465
166.6,-905608.8422
166.8,-905957.3384
167.0,-905421.6032
167.2,-905915.6576
167.4,-905984.4174
167.6,-906357.2739
167.8,-906392.8075
168.0,-905889.8901
168.2,-906208.4386
168.4,-906087.5081
168.6,-905944.5724
168.8,-906657.7335
169.0,-906033.4539
169.2,-906390.9518
169.4,-905768.9496
169.6,-906034.2147
169.8,-905927.7645
170.0,-906393.666
170.2,-905951.7276
170.4,-906199.2627
170.6,-906088.4061
170.8,-906578.7812
171.0,-906525.2535
171.2,-906502.2169
171.4,-906077.6889
171.6,-906253.1162
171.8,-906315.5508
172.0,-906551.3878
172.2,-906518.1302
172.4,-906389.5981
172.6,-906055.4407
172.8,-906270.3525
173.0,-906043.8471
173.2,-906521.5202
173.4,-906248.217
173.6,-906453.2013
173.8,-906236.3063
174.0,-906120.6098
174.2,-906091.2364
174.4,-906038.5427
174.6,-906455.6091
174.8,-906449.686
175.0,-906054.7777
175.2,-906469.301
175.4,-906434.8574
175.6,-906727.7572
175.8,-906414.9852
176.0,-906086.7537
176.2,-906163.2811
176.4,-906452.328
176.6,-906439.7126
176.8,-906585.7055
177.0,-906435.3357
177.2,-906249.3563
177.4,-906566.3122
177.6,-906709.5363
177.8,-906359.236
178.0,-907026.0381
178.2,-906865.6102
178.4,-906584.123
178.6,-906641.836
178.8,-906217.907
179.0,-906393.8405
179.2,-906237.0039
179.4,-906500.8441
179.6,-905858.9848
179.8,-906026.7322
180.0,-906288.8563
180.2,-906584.0098
180.4,-906201.1987
180.6,-906486.8849
180.8,-906793.4646
181.0,-906405.4264
181.2,-906527.8733
181.4,-906181.8106
181.6,-906982.2399
181.8,-906505.602
182.0,-906474.6983
182.2,-906465.0259
182.4,-906605.7599
182.6,-906324.6214
182.8,-906696.7073
183.0,-906586.0872
183.2,-907105.0515
183.4,-906868.5322
183.6,-906835.593
183.8,-907070.1375
184.0,-906635.2265
184.2,-906925.3945
184.4,-906855.3371
184.6,-906625.3928
184.8,-906979.029
185.0,-906804.4006
185.2,-906988.9525
185.4,-906955.1607
185.6,-907391.8594
185.8,-907070.0501
186.0,-907049.734
186.2,-907073.3389
186.4,-906898.8899
186.6,-907260.6843
186.8,-906959.17
187.0,-906889.4383
187.2,-907089.5553
187.4,-906814.5101
187.6,-906999.7649
187.8,-907142.0133
188.0,-906695.9445
188.2,-907263.2547
188.4,-907063.7004
188.6,-906887.5903
188.8,-906932.3126
189.0,-907194.8838
189.2,-907146.7145
189.4,-907540.2292
189.6,-907617.0416
189.8,-907152.1743
190.0,-907317.0001
190.2,-907608.4425
190.4,-907356.8191
190.6,-907669.404
190.8,-907573.4348
191.0,-907610.3532
191.2,-907352.9245
191.4,-907747.8109
191.6,-907129.264
191.8,-907104.9324
192.0,-906952.7831
192.2,-907271.8076
192.4,-907545.9359
192.6,-907254.5964
192.8,-907408.7129
193.0,-907509.1563
193.2,-906937.4719
193.4,-907370.9253
193.6,-907240.4089
193.8,-907453.3374
194.0,-907628.2491
194.2,-907660.478
194.4,-907025.4797
194.6,-907484.8031
194.8,-907166.3031
195.0,-907373.0873
