Time (ps),ETOT
133.2,-832288.4254
133.4,-832081.3662
133.6,-831872.3759
133.8,-831777.7424
134.0,-831896.2513
134.2,-832255.156
134.4,-832103.2781
134.6,-832211.8577
134.8,-832313.4297
135.0,-831908.6342
135.2,-831983.6229
135.4,-832252.9989
135.6,-832728.5965
135.8,-832584.9004
136.0,-832423.0962
136.2,-832707.1611
136.4,-832677.9799
136.6,-833169.0887
136.8,-833022.6452
137.0,-832905.3184
137.2,-832700.7622
137.4,-832294.5504
137.6,-832129.9903
137.8,-832134.196
138.0,-832263.0455
138.2,-832477.0599
138.4,-832493.4193
138.6,-832496.7385
138.8,-832766.2356
139.0,-832091.3824
139.2,-832280.6284
139.4,-832593.5957
139.6,-832879.4112
139.8,-832600.3069
140.0,-832387.6771
140.2,-832538.3283
140.4,-832663.3459
140.6,-832585.277
140.8,-832718.2662
141.0,-832497.7344
141.2,-832840.5109
141.4,-832444.1925
141.6,-833016.8885
141.8,-833090.3546
142.0,-833171.3455
142.2,-833346.3251
142.4,-833060.9316
142.6,-833094.7344
142.8,-833360.0067
143.0,-833314.1926
143.2,-833189.71
143.4,-833008.1311
143.6,-833212.9992
143.8,-833483.1375
144.0,-833359.8874
144.2,-833421.1958
144.4,-833384.0921
144.6,-833339.1382
144.8,-833436.7581
145.0,-832640.7356
145.2,-832741.0346
145.4,-832811.8885
145.6,-833267.4168
145.8,-833570.7835
146.0,-833613.5059
146.2,-833494.9629
146.4,-833640.9597
146.6,-833638.2692
146.8,-833124.6167
147.0,-833275.1127
147.2,-833067.8606
147.4,-833115.3392
147.6,-833091.6857
147.8,-833193.7531
148.0,-833177.4753
148.2,-832998.6446
148.4,-832938.094
148.6,-832791.9079
148.8,-833376.3824
149.0,-833188.555
149.2,-833120.0404
149.4,-833140.3979
149.6,-833006.7351
149.8,-833225.2559
150.0,-833478.3561
150.2,-833698.1728
150.4,-833983.4854
150.6,-833484.5664
150.8,-833399.6332
151.0,-832926.1959
151.2,-832886.8651
151.4,-833117.4534
151.6,-833366.5074
151.8,-833105.3068
152.0,-833053.5327
152.2,-832598.6292
152.4,-832665.5525
152.6,-832609.4708
152.8,-832982.7714
153.0,-833527.6435
153.2,-833409.8178
153.4,-833386.917
153.6,-833279.5526
153.8,-833334.5855
154.0,-833196.2677
154.2,-833392.4527
154.4,-833480.7901
154.6,-833695.9565
154.8,-833677.4934
155.0,-833814.6085
155.2,-833680.3999
155.4,-833899.686
155.6,-833612.5694
155.8,-833062.1071
156.0,-832936.3486
156.2,-832809.9122
156.4,-833033.6299
156.6,-832907.5076
156.8,-832890.0891
157.0,-832870.5272
157.2,-833267.8028
157.4,-833671.09
157.6,-833845.2079
157.8,-834117.1048
158.0,-834324.5233
158.2,-834495.667
158.4,-834470.1961
158.6,-834399.8388
158.8,-833888.7462
159.0,-833632.5374
159.2,-833453.2738
159.4,-833637.8265
159.6,-833773.4516
159.8,-833974.2933
160.0,-833802.77
160.2,-833891.889
160.4,-833773.1284
160.6,-833905.141
160.8,-834216.7543
161.0,-834310.903
161.2,-834064.2052
161.4,-833744.067
161.6,-833390.2195
161.8,-833153.9228
162.0,-833420.3353
162.2,-833474.6256
162.4,-833281.9098
162.6,-833617.89
162.8,-833584.9428
163.0,-833526.2437
163.2,-833981.0578
163.4,-834366.2918
163.6,-834222.2874
163.8,-833915.5492
164.0,-833934.9277
164.2,-834064.8199
164.4,-833924.5171
164.6,-834407.6738
164.8,-834495.888
165.0,-834269.9938
165.2,-834211.2171
165.4,-834196.5696
165.6,-834365.9627
165.8,-833962.7183
166.0,-833568.8657
166.2,-833709.1076
166.4,-834139.2616
166.6,-833798.0031
166.8,-833832.2662
167.0,-834040.4235
167.2,-834168.1321
167.4,-834159.6763
167.6,-834317.1796
167.8,-833779.7185
168.0,-833822.5953
168.2,-833896.7998
168.4,-833999.9966
168.6,-833702.2108
168.8,-833758.9971
169.0,-834022.0984
169.2,-834074.576
169.4,-834435.9659
169.6,-834179.4788
169.8,-834344.3034
170.0,-833942.5044
170.2,-833611.3331
170.4,-833916.579
170.6,-833769.6154
170.8,-834083.8952
171.0,-833940.3803
171.2,-833997.1711
171.4,-833987.7726
