Time (ps),TEMP
225.2,301.0
225.4,299.5
225.6,298.66
225.8,300.6
226.0,299.81
226.2,300.83
226.4,299.98
226.6,301.93
226.8,301.07
227.0,300.45
227.2,299.31
227.4,301.02
227.6,300.53
227.8,300.3
228.0,300.61
228.2,300.67
228.4,300.27
228.6,299.59
228.8,300.33
229.0,301.05
229.2,300.81
229.4,301.45
229.6,299.62
229.8,299.05
230.0,298.23
230.2,299.34
230.4,299.79
230.6,301.36
230.8,300.47
231.0,301.94
231.2,300.96
231.4,299.71
231.6,299.43
231.8,300.52
232.0,299.92
232.2,299.7
232.4,301.5
232.6,299.34
232.8,300.34
233.0,299.9
233.2,299.0
233.4,298.79
233.6,299.65
233.8,299.98
234.0,300.01
234.2,299.72
234.4,300.78
234.6,301.08
234.8,300.09
235.0,300.57
235.2,300.5
235.4,299.97
235.6,299.8
235.8,299.23
236.0,299.21
236.2,301.45
236.4,299.91
236.6,300.17
236.8,299.27
237.0,300.5
237.2,301.86
237.4,300.34
237.6,300.17
237.8,300.25
238.0,301.86
238.2,301.24
238.4,300.49
238.6,300.7
238.8,299.89
239.0,300.0
239.2,300.57
239.4,301.03
239.6,299.14
239.8,300.25
240.0,300.37
240.2,299.57
240.4,300.97
240.6,299.84
240.8,299.85
241.0,298.58
241.2,300.43
241.4,299.61
241.6,299.07
241.8,299.63
242.0,299.0
242.2,299.68
242.4,298.92
242.6,300.45
242.8,299.02
243.0,300.32
243.2,300.62
243.4,299.91
243.6,298.77
243.8,300.91
244.0,299.67
244.2,300.54
244.4,301.93
244.6,299.69
244.8,301.04
245.0,300.65
245.2,300.25
245.4,300.12
245.6,299.77
245.8,300.24
246.0,299.86
246.2,300.3
246.4,299.64
246.6,301.08
246.8,298.75
247.0,298.56
247.2,299.94
247.4,299.06
247.6,300.29
247.8,299.7
248.0,299.35
248.2,299.53
248.4,300.45
248.6,298.89
248.8,299.0
249.0,298.85
249.2,299.7
249.4,300.22
249.6,299.44
249.8,299.93
250.0,299.04
250.2,300.23
250.4,298.63
250.6,299.99
250.8,299.65
251.0,300.13
251.2,300.14
251.4,300.95
251.6,299.17
251.8,299.16
252.0,298.98
252.2,299.33
252.4,298.9
252.6,300.57
252.8,300.11
253.0,300.34
253.2,299.98
253.4,299.11
253.6,300.32
253.8,299.56
254.0,299.9
254.2,298.8
254.4,299.44
254.6,298.91
254.8,299.37
255.0,297.91
255.2,299.13
255.4,300.27
255.6,299.94
255.8,300.67
256.0,300.64
256.2,301.07
256.4,300.15
256.6,301.61
256.8,300.31
257.0,300.02
257.2,300.05
257.4,300.28
257.6,298.96
257.8,300.59
258.0,300.21
258.2,300.38
258.4,300.38
258.6,301.79
258.8,301.4
259.0,301.03
259.2,299.46
259.4,300.5
259.6,300.32
259.8,299.85
260.0,299.2
260.2,299.3
260.4,299.22
260.6,300.09
260.8,299.97
261.0,299.2
261.2,299.84
261.4,299.94
261.6,299.8
261.8,299.85
262.0,300.94
262.2,300.49
262.4,299.37
262.6,300.91
262.8,298.82
263.0,300.48
263.2,300.45
263.4,299.68
263.6,300.53
263.8,299.8
264.0,301.39
264.2,300.27
264.4,298.8
264.6,299.11
264.8,299.34
265.0,298.14
265.2,299.81
265.4,299.51
265.6,300.05
265.8,300.33
266.0,299.97
266.2,300.28
266.4,300.49
266.6,300.68
266.8,300.87
267.0,299.4
267.2,299.85
267.4,300.54
267.6,298.04
267.8,299.73
268.0,299.9
268.2,299.03
268.4,299.91
268.6,301.38
268.8,300.98
269.0,300.28
269.2,298.85
269.4,298.85
269.6,299.93
269.8,299.84
270.0,300.6
270.2,299.83
270.4,299.51
270.6,299.25
270.8,300.62
271.0,298.86
271.2,299.55
271.4,300.3
271.6,300.3
271.8,299.33
272.0,299.34
272.2,299.68
272.4,300.26
272.6,300.14
272.8,300.81
273.0,300.75
273.2,300.22
273.4,300.87
273.6,299.76
273.8,300.85
274.0,299.56
274.2,300.39
274.4,299.85
274.6,300.4
274.8,300.57
275.0,299.45
275.2,299.88
275.4,299.57
275.6,300.11
275.8,299.51
276.0,299.98
276.2,299.68
276.4,299.73
276.6,298.85
276.8,300.03
277.0,300.21
277.2,299.46
277.4,299.74
277.6,300.18
277.8,300.32
278.0,300.82
278.2,301.4
278.4,300.43
278.6,300.25
278.8,300.94
279.0,301.81
279.2,300.78
279.4,301.73
279.6,300.83
279.8,299.54
280.0,299.04
280.2,300.41
280.4,300.19
280.6,300.54
280.8,300.05
281.0,300.21
281.2,299.83
281.4,299.73
281.6,300.23
281.8,300.54
282.0,299.88
282.2,298.86
282.4,300.19
282.6,299.73
282.8,301.14
283.0,299.62
283.2,299.41
283.4,300.94
283.6,300.22
283.8,299.5
284.0,299.0
284.2,299.25
284.4,300.67
284.6,300.04
284.8,299.81
285.0,301.3
285.2,299.6
285.4,298.69
285.6,299.32
285.8,299.69
286.0,298.54
286.2,299.46
286.4,299.52
286.6,300.29
286.8,299.58
287.0,298.26
287.2,299.22
287.4,298.19
287.6,299.7
287.8,298.89
288.0,299.01
288.2,300.11
288.4,298.66
288.6,300.31
288.8,299.17
289.0,299.75
289.2,299.56
289.4,299.63
289.6,300.59
289.8,299.53
290.0,301.9
290.2,301.24
290.4,301.42
290.6,299.86
290.8,299.84
291.0,300.98
291.2,300.23
291.4,300.76
291.6,301.23
291.8,299.44
292.0,301.05
292.2,301.26
292.4,299.47
292.6,300.39
292.8,298.61
293.0,299.51
293.2,298.41
293.4,300.45
293.6,300.41
293.8,300.03
294.0,300.77
294.2,301.59
294.4,301.12
294.6,299.39
294.8,298.33
295.0,299.66
295.2,301.54
295.4,300.29
295.6,299.73
295.8,299.81
296.0,299.51
296.2,300.76
296.4,301.19
296.6,299.92
296.8,300.68
297.0,298.99
297.2,299.44
297.4,300.37
297.6,300.74
297.8,301.18
298.0,299.85
298.2,301.45
298.4,301.41
298.6,301.65
298.8,302.57
299.0,301.61
299.2,301.31
299.4,300.62
299.6,300.49
299.8,300.61
300.0,299.07
300.2,300.6
300.4,302.06
300.6,299.91
300.8,300.15
301.0,299.45
301.2,300.47
301.4,300.01
301.6,299.4
301.8,298.36
302.0,300.56
302.2,299.97
302.4,298.67
302.6,300.66
302.8,300.07
303.0,299.31
303.2,298.17
303.4,298.38
303.6,300.79
303.8,300.76
304.0,300.54
304.2,301.74
304.4,301.18
304.6,300.09
304.8,299.58
305.0,300.15
305.2,300.02
305.4,299.91
305.6,299.95
305.8,300.43
306.0,300.13
306.2,299.71
306.4,300.74
306.6,300.26
306.8,300.86
307.0,300.71
307.2,299.05
307.4,298.72
307.6,299.68
307.8,300.08
308.0,299.31
308.2,300.41
308.4,300.99
308.6,301.04
308.8,300.31
309.0,298.73
309.2,299.9
309.4,300.29
309.6,299.4
309.8,301.64
310.0,300.27
310.2,300.85
310.4,300.66
310.6,300.7
310.8,300.2
311.0,300.54
311.2,299.6
311.4,302.03
311.6,300.15
311.8,300.37
312.0,300.75
312.2,301.5
312.4,300.91
312.6,300.83
312.8,301.15
313.0,301.16
313.2,300.99
313.4,301.18
313.6,300.72
313.8,300.2
314.0,299.62
314.2,298.32
314.4,299.43
314.6,299.68
314.8,300.59
315.0,300.99
315.2,300.04
315.4,299.77
315.6,299.83
315.8,299.82
316.0,299.26
316.2,299.23
316.4,299.49
316.6,298.84
316.8,300.07
317.0,300.48
317.2,300.41
317.4,300.78
317.6,302.07
317.8,300.31
318.0,299.86
318.2,300.02
318.4,300.76
318.6,300.6
318.8,300.27
319.0,299.21
319.2,299.77
319.4,300.01
319.6,299.16
319.8,299.42
320.0,298.8
320.2,298.93
320.4,300.4
320.6,298.79
320.8,300.76
321.0,300.12
321.2,300.92
321.4,300.62
321.6,299.91
321.8,299.68
322.0,301.27
322.2,299.58
322.4,299.11
322.6,299.61
322.8,300.39
323.0,300.33
323.2,300.41
323.4,300.98
323.6,300.77
323.8,300.21
324.0,299.57
324.2,300.06
324.4,299.43
324.6,300.22
324.8,299.55
325.0,299.97
325.2,299.92
325.4,300.43
325.6,299.78
325.8,301.5
326.0,299.85
326.2,300.33
326.4,299.36
326.6,301.11
326.8,302.18
327.0,301.29
327.2,300.8
327.4,300.17
327.6,300.0
327.8,299.93
328.0,298.49
328.2,300.09
328.4,299.49
328.6,299.8
328.8,300.2
329.0,299.67
329.2,299.87
329.4,299.73
329.6,299.02
329.8,300.66
330.0,301.09
330.2,301.19
330.4,299.48
330.6,301.24
330.8,301.26
331.0,300.84
331.2,300.05
331.4,300.14
331.6,300.39
331.8,301.29
332.0,301.72
332.2,300.73
332.4,300.91
332.6,300.18
332.8,298.88
333.0,299.29
333.2,299.82
333.4,300.41
333.6,300.7
333.8,299.58
334.0,299.56
334.2,301.26
334.4,300.9
334.6,299.91
334.8,300.01
335.0,301.5
335.2,299.8
335.4,300.34
335.6,299.79
335.8,298.67
336.0,299.37
336.2,299.98
336.4,298.9
336.6,299.09
336.8,299.53
337.0,299.71
337.2,299.47
337.4,298.91
337.6,300.51
337.8,301.2
338.0,300.33
338.2,299.39
338.4,299.14
338.6,299.52
338.8,300.56
339.0,300.26
339.2,300.06
339.4,301.43
339.6,300.45
339.8,300.34
340.0,301.83
340.2,299.87
340.4,300.57
340.6,299.1
340.8,300.25
341.0,300.67
341.2,299.96
341.4,300.64
341.6,299.44
341.8,299.95
342.0,301.09
342.2,298.8
342.4,299.72
342.6,301.3
342.8,300.55
343.0,300.75
343.2,299.63
343.4,299.39
343.6,300.1
343.8,300.4
344.0,301.05
344.2,300.79
344.4,300.61
344.6,299.09
344.8,299.41
345.0,298.87
345.2,300.02
345.4,299.13
345.6,300.33
345.8,299.86
346.0,300.63
346.2,299.51
346.4,299.48
346.6,299.3
346.8,299.96
347.0,300.5
347.2,299.14
347.4,299.29
347.6,299.38
347.8,300.61
348.0,300.31
348.2,299.13
348.4,299.98
348.6,299.55
348.8,299.72
349.0,299.1
349.2,299.12
349.4,300.84
349.6,300.22
349.8,300.81
350.0,300.8
350.2,300.28
350.4,300.52
350.6,299.46
350.8,300.48
351.0,299.08
351.2,299.21
351.4,300.17
351.6,299.87
351.8,301.27
352.0,300.46
352.2,300.41
352.4,300.15
352.6,300.74
352.8,299.74
353.0,299.65
353.2,299.13
353.4,299.81
353.6,300.62
353.8,300.78
354.0,301.49
354.2,301.18
354.4,300.59
354.6,300.4
354.8,301.39
355.0,300.95
355.2,301.08
355.4,301.25
355.6,300.76
355.8,300.0
356.0,301.16
356.2,301.15
356.4,300.66
356.6,299.99
356.8,299.4
357.0,300.24
357.2,299.7
357.4,300.65
357.6,301.63
357.8,300.47
358.0,300.19
358.2,300.74
358.4,301.11
358.6,301.27
358.8,300.39
359.0,299.98
359.2,300.39
359.4,300.9
359.6,299.93
359.8,300.3
360.0,299.92
360.2,299.25
360.4,299.87
360.6,300.25
360.8,301.15
361.0,300.59
361.2,299.97
361.4,299.53
361.6,299.07
361.8,301.0
362.0,300.25
362.2,299.86
362.4,299.21
362.6,299.22
362.8,297.61
363.0,299.76
363.2,299.01
363.4,300.51
363.6,299.12
363.8,300.98
364.0,300.7
364.2,299.97
364.4,300.19
364.6,300.5
364.8,301.24
365.0,299.4
365.2,300.03
365.4,299.36
365.6,299.12
365.8,299.79
366.0,302.14
366.2,300.14
366.4,299.16
366.6,299.27
366.8,300.05
367.0,299.67
367.2,300.65
367.4,300.29
367.6,298.8
367.8,300.27
368.0,299.56
368.2,300.1
368.4,300.33
368.6,299.7
368.8,299.47
369.0,300.01
