Time (ps),Radius of gyration (A)
1144.0,31.212527661268552
1146.0,31.164059337253207
1148.0,31.22086656062482
1150.0,31.151647317320382
1152.0,31.185150991226358
1154.0,31.1918842344377
1156.0,31.16390772088398
1158.0,31.210176650894628
1160.0,31.218408679317747
1162.0,31.210189328813545
1164.0,31.216532768030085
1166.0,31.19249246137765
1168.0,31.21409371881099
1170.0,31.21435149244739
1172.0,31.204522893799695
1174.0,31.20975501976423
1176.0,31.173505491955247
1178.0,31.200974660525674
1180.0,31.190511198002095
1182.0,31.204430713003305
1184.0,31.14989143537517
1186.0,31.1909994448024
1188.0,31.17383166163608
1190.0,31.19724909079889
1192.0,31.165523287469746
1194.0,31.167610185652943
1196.0,31.195145427993808
1198.0,31.217889142546262
1200.0,31.179594498795534
1202.0,31.204266165381817
1204.0,31.210803649998553
1206.0,31.199685588789308
1208.0,31.19111954587145
1210.0,31.219717401392945
1212.0,31.201977752277188
1214.0,31.216931986273753
1216.0,31.181411365687563
1218.0,31.196641883624274
1220.0,31.15427576095907
1222.0,31.19797347136551
1224.0,31.197140643544667
1226.0,31.18689410252187
1228.0,31.18192137198142
1230.0,31.199543592695445
1232.0,31.18353486537076
1234.0,31.1903026784192
1236.0,31.16172748195578
1238.0,31.200390223892164
1240.0,31.201238368046962
1242.0,31.196413582128617
1244.0,31.177374249176697
1246.0,31.181178108267147
1248.0,31.16080409186643
1250.0,31.161264759093612
1252.0,31.18168622070002
1254.0,31.167191591035344
1256.0,31.172435166816918
1258.0,31.207914234081695
1260.0,31.20956878771155
1262.0,31.169488658088355
1264.0,31.184625751530174
1266.0,31.16943010759288
1268.0,31.20075537316717
1270.0,31.20306447865295
1272.0,31.173860618857148
1274.0,31.179362638848126
1276.0,31.142372248834715
1278.0,31.175099314295867
1280.0,31.194124335465528
1282.0,31.187357957234077
1284.0,31.190387346205
1286.0,31.21249722977454
1288.0,31.19317044125647
1290.0,31.181888910458806
1292.0,31.16742264818455
1294.0,31.171453764861145
1296.0,31.191202562796228
1298.0,31.158373727378372
1300.0,31.192676356300588
1302.0,31.17481984832615
1304.0,31.186707080888837
1306.0,31.16408224511739
1308.0,31.220818004345443
1310.0,31.177694078013634
1312.0,31.184900753535143
1314.0,31.17760867025527
1316.0,31.184561445457547
1318.0,31.16148413741418
1320.0,31.193573110581276
1322.0,31.167140386784265
1324.0,31.191358878582644
1326.0,31.19121324758978
1328.0,31.179775370917138
1330.0,31.175056214791358
1332.0,31.183372207241735
1334.0,31.200079545803018
1336.0,31.17393144235433
1338.0,31.189386239938063
1340.0,31.20134371804131
1342.0,31.16811382293733
1344.0,31.181803232011017
1346.0,31.17459061429488
1348.0,31.17205215735771
1350.0,31.174667443728012
1352.0,31.196332863568955
1354.0,31.199585998608526
1356.0,31.222549889544986
1358.0,31.16293005580325
1360.0,31.18561877277183
1362.0,31.207627951881168
1364.0,31.1768828190659
1366.0,31.167491537198284
1368.0,31.19358925199213
1370.0,31.176907550198308
1372.0,31.170278268436125
1374.0,31.1796734027491
1376.0,31.185676541937067
1378.0,31.170868995150638
1380.0,31.17954563938246
1382.0,31.166149427732428
1384.0,31.17024259981243
1386.0,31.1851195154861
1388.0,31.167095935807286
1390.0,31.160354402001516
1392.0,31.135222007844547
1394.0,31.164941134547853
1396.0,31.16483378504647
1398.0,31.168528958483044
1400.0,31.1647759635122
1402.0,31.163764898227356
1404.0,31.176617221279503
1406.0,31.134575438887573
1408.0,31.18267725296331
1410.0,31.180279140034116
1412.0,31.194909298781536
1414.0,31.186676169154254
1416.0,31.182195737980432
1418.0,31.156814832410724
1420.0,31.189163425056066
1422.0,31.133031647381713
1424.0,31.191018147532375
1426.0,31.182124405881943
1428.0,31.150244785061176
1430.0,31.1735947344137
1432.0,31.19152120502282
1434.0,31.14022185129159
1436.0,31.1712686572725
1438.0,31.163457666773127
1440.0,31.196977522047742
1442.0,31.16028628489447
1444.0,31.178038583506275
1446.0,31.155581862915472
1448.0,31.185151690537694
1450.0,31.16973710568071
1452.0,31.1793729998655
