Time (ps),EPTOT
167.4,-918140.9172
167.6,-918449.6323
167.8,-917840.3014
168.0,-917879.209
168.2,-918155.9682
168.4,-917965.051
168.6,-917756.6962
168.8,-918088.5364
169.0,-918142.319
169.2,-918341.4326
169.4,-918398.7151
169.6,-918147.9904
169.8,-918245.2706
170.0,-917842.0559
170.2,-917865.6584
170.4,-918182.8149
170.6,-917970.0163
170.8,-918190.6753
171.0,-917926.8146
171.2,-918400.5375
171.4,-917760.7548
171.6,-918325.564
171.8,-918126.1264
172.0,-918241.0967
172.2,-918456.2976
172.4,-918328.3831
172.6,-918355.5458
172.8,-918427.3981
173.0,-918444.8232
173.2,-918243.4974
173.4,-918704.4306
173.6,-917998.5015
173.8,-917884.8776
174.0,-918178.5243
174.2,-918461.136
174.4,-918567.2
174.6,-918161.5407
174.8,-918527.0962
175.0,-918816.4524
175.2,-918550.3783
175.4,-918704.8071
175.6,-918408.6854
175.8,-918366.5666
176.0,-918630.8387
176.2,-918531.369
176.4,-918444.1348
176.6,-918719.844
176.8,-918377.9188
177.0,-918719.782
177.2,-918417.8049
177.4,-918423.7126
177.6,-918719.9351
177.8,-918378.3881
178.0,-918421.6559
178.2,-918869.4513
178.4,-918738.7569
178.6,-918541.2801
178.8,-918897.2119
179.0,-918906.6659
179.2,-918857.5781
179.4,-918440.0748
179.6,-918582.1016
179.8,-918425.258
180.0,-918437.5966
180.2,-918851.2391
180.4,-918376.5905
180.6,-918542.2227
180.8,-918141.2813
181.0,-918222.1158
181.2,-918667.5018
181.4,-918242.8331
181.6,-918742.3308
181.8,-918158.5494
182.0,-918341.2481
182.2,-918148.1734
182.4,-918359.1572
182.6,-918416.5077
182.8,-918627.3804
183.0,-918658.2533
183.2,-919023.848
183.4,-918701.3433
183.6,-919075.3047
183.8,-919006.4289
184.0,-919279.9701
184.2,-918781.6211
184.4,-919137.3305
184.6,-919161.4998
184.8,-918503.1613
185.0,-919183.475
185.2,-919272.164
185.4,-918921.517
185.6,-918979.9163
185.8,-919051.4042
186.0,-919578.3018
186.2,-918932.5962
186.4,-918907.8147
186.6,-918878.4933
186.8,-918880.8952
187.0,-918971.5326
187.2,-919552.9953
187.4,-919281.665
187.6,-919263.2881
187.8,-919319.0528
188.0,-919573.1639
188.2,-919018.7419
188.4,-919507.6632
188.6,-918736.5577
188.8,-918835.6496
189.0,-918847.9781
189.2,-919074.7437
189.4,-919153.2535
189.6,-919039.1789
189.8,-919158.4526
190.0,-918952.0029
190.2,-919331.9477
190.4,-919033.9654
190.6,-919306.6922
190.8,-919282.6596
191.0,-918838.494
191.2,-918705.5151
191.4,-918623.9087
191.6,-919096.7583
191.8,-918866.6021
192.0,-919089.6282
192.2,-918956.0003
192.4,-919059.0978
192.6,-919354.4124
192.8,-919504.0
193.0,-918993.7014
193.2,-919289.4269
193.4,-919163.1797
193.6,-919104.797
193.8,-918991.492
194.0,-918769.5876
194.2,-918707.0686
194.4,-919182.4368
194.6,-919106.9729
194.8,-918553.1869
195.0,-919087.4986
195.2,-918944.8848
195.4,-918909.24
195.6,-918841.0281
195.8,-919142.0961
196.0,-919345.9359
196.2,-919503.6151
196.4,-918972.74
196.6,-919126.3351
196.8,-918985.0632
197.0,-919151.8914
197.2,-919329.7278
197.4,-919368.5129
197.6,-919005.4604
197.8,-919300.3826
198.0,-918955.4621
198.2,-919212.6841
198.4,-919378.0027
198.6,-919678.1969
198.8,-919236.0151
199.0,-918775.1922
199.2,-919226.182
199.4,-918599.5151
199.6,-919034.321
199.8,-919181.9576
200.0,-919439.1167
200.2,-919180.9922
200.4,-919359.8758
200.6,-919114.917
200.8,-919411.1384
201.0,-919400.5169
201.2,-919666.0969
201.4,-919894.1004
201.6,-919797.6769
201.8,-919744.4892
202.0,-919697.5154
202.2,-919600.7496
202.4,-919663.764
202.6,-919552.097
202.8,-919218.7195
203.0,-918927.1411
203.2,-919331.5952
203.4,-919264.0941
203.6,-919410.8109
203.8,-919088.6559
204.0,-919339.0469
204.2,-919286.0256
204.4,-919406.6931
204.6,-919514.4381
204.8,-919722.8898
205.0,-919406.5026
205.2,-919690.1414
205.4,-918928.3757
205.6,-919534.7219
205.8,-919297.8938
206.0,-919598.463
206.2,-919950.4192
206.4,-919803.7766
206.6,-919230.2284
206.8,-919381.049
207.0,-919349.7585
207.2,-919693.1232
207.4,-919272.85
207.6,-919294.1808
207.8,-919646.878
208.0,-919820.9997
208.2,-919525.5841
208.4,-919572.848
208.6,-919869.9573
208.8,-919548.8074
209.0,-919404.1237
209.2,-919887.5694
209.4,-919843.515
209.6,-919836.5445
209.8,-919867.5023
210.0,-920080.828
210.2,-919660.5562
210.4,-919372.6957
210.6,-919287.9668
210.8,-919252.587
211.0,-919563.8229
211.2,-919832.91
211.4,-919841.7538
211.6,-919814.7004
211.8,-919817.7102
212.0,-919604.7068
212.2,-919727.8257
212.4,-919563.8727
212.6,-919701.5384
212.8,-919783.3106
213.0,-920295.9915
213.2,-920294.5201
213.4,-919970.3473
213.6,-920335.2417
213.8,-920110.0916
214.0,-919985.7303
214.2,-920288.7706
214.4,-919878.6265
214.6,-920253.0326
214.8,-919769.4682
215.0,-919398.4377
215.2,-920021.3775
215.4,-919706.8166
215.6,-919913.5536
215.8,-919664.8851
216.0,-920230.4915
216.2,-920121.6221
216.4,-920032.6979
216.6,-920295.9883
216.8,-920469.1392
217.0,-919588.9856
217.2,-919847.7635
217.4,-919927.0733
217.6,-920039.5046
217.8,-919970.4562
218.0,-920061.4734
218.2,-919913.3721
218.4,-919916.8425
218.6,-919741.6209
218.8,-919770.8239
219.0,-919966.2582
219.2,-919820.317
219.4,-919692.0386
219.6,-919306.6352
219.8,-919759.0431
220.0,-919970.3393
220.2,-920129.6496
220.4,-920032.0269
220.6,-919800.5303
220.8,-920074.9337
221.0,-920093.7461
221.2,-920070.4836
221.4,-920060.1442
221.6,-920143.3718
221.8,-919666.3549
222.0,-920012.1866
222.2,-919810.8691
222.4,-920322.9816
222.6,-920031.3442
222.8,-919758.053
223.0,-919826.8049
223.2,-920435.2052
223.4,-920221.5948
223.6,-920185.596
223.8,-920181.8874
224.0,-919899.9201
224.2,-919862.0794
224.4,-919887.3811
224.6,-919922.9349
224.8,-920177.3166
225.0,-920597.1681
225.2,-920326.7641
225.4,-919913.0559
225.6,-920027.8705
225.8,-920175.2807
226.0,-920199.9245
226.2,-920215.0728
226.4,-920090.1839
226.6,-920132.7268
226.8,-919921.8743
227.0,-920500.9064
227.2,-920003.6707
227.4,-920497.1481
227.6,-920280.3277
227.8,-920153.8841
228.0,-920205.0062
228.2,-919956.7266
228.4,-919774.1327
228.6,-919644.2765
228.8,-919846.1528
229.0,-920022.7431
229.2,-920152.7847
229.4,-920473.731
229.6,-920370.0083
229.8,-920420.7089
230.0,-920416.4901
230.2,-920668.1843
230.4,-920004.1316
230.6,-919973.4577
230.8,-919831.1538
231.0,-920276.5392
231.2,-920183.3042
231.4,-920184.4252
231.6,-920369.4112
231.8,-920467.639
232.0,-920558.7775
232.2,-920373.4272
232.4,-920504.3405
232.6,-920191.7056
232.8,-920405.1724
233.0,-920567.1855
233.2,-920051.0955
233.4,-920334.8628
233.6,-920820.3433
233.8,-920792.5305
234.0,-920803.7717
234.2,-920150.193
234.4,-920404.1822
234.6,-920345.5545
234.8,-920253.4193
235.0,-920521.8629
235.2,-920517.0338
235.4,-920415.8459
235.6,-920344.8494
235.8,-920560.4459
236.0,-920655.5788
236.2,-920820.4923
236.4,-920633.9151
236.6,-920663.7199
236.8,-920399.0177
237.0,-920573.2813
237.2,-920576.314
237.4,-920292.5758
237.6,-920246.2796
237.8,-920362.4075
238.0,-920420.9915
238.2,-920328.4635
238.4,-920181.8104
238.6,-920377.3207
238.8,-920688.2953
239.0,-920432.4053
239.2,-920547.1509
239.4,-920946.2608
239.6,-920262.7362
239.8,-920408.4872
240.0,-920192.3886
240.2,-920293.0381
240.4,-920560.7734
240.6,-920614.1074
240.8,-920627.6376
241.0,-920615.2777
241.2,-920868.7675
241.4,-920741.8088
241.6,-920623.4741
241.8,-920546.0463
242.0,-920653.1455
242.2,-920784.5091
242.4,-920398.1215
242.6,-920620.4618
242.8,-920671.8401
243.0,-920606.8603
243.2,-920805.9691
243.4,-920420.3591
243.6,-919802.1185
243.8,-920630.9194
244.0,-920278.5352
244.2,-920634.4561
244.4,-920572.1271
244.6,-920038.691
244.8,-920535.77
245.0,-920511.7913
245.2,-920592.0204
245.4,-920737.2927
245.6,-920475.6786
245.8,-920557.1032
246.0,-920613.442
246.2,-920790.1398
246.4,-920325.4787
246.6,-920693.559
246.8,-920746.5367
247.0,-920751.7832
247.2,-920978.8337
247.4,-920900.2157
247.6,-921011.0919
247.8,-920915.6747
248.0,-920798.9213
248.2,-921022.0478
248.4,-921110.5763
248.6,-920848.9067
248.8,-920965.1512
249.0,-920916.633
249.2,-921039.603
249.4,-920970.5685
249.6,-920812.3173
249.8,-920748.5738
250.0,-920561.0613
250.2,-920795.0386
250.4,-920449.065
250.6,-920607.1461
250.8,-920596.6377
251.0,-920926.2374
251.2,-921034.4893
251.4,-921146.6362
251.6,-921044.9112
251.8,-921021.1874
252.0,-921084.5107
252.2,-920998.2596
252.4,-920708.9484
252.6,-920879.7197
252.8,-920866.5564
253.0,-921018.5464
253.2,-921124.0109
253.4,-921057.9164
253.6,-921121.7619
253.8,-921133.2589
254.0,-920977.6993
254.2,-920714.5704
254.4,-920698.2834
254.6,-920979.1514
254.8,-921159.1734
255.0,-921015.2449
255.2,-921138.0974
255.4,-920989.8348
255.6,-920975.5505
255.8,-920846.4334
256.0,-920930.9648
256.2,-920704.0607
256.4,-920337.1262
256.6,-920774.0032
256.8,-920672.1546
257.0,-920752.732
257.2,-920593.6611
257.4,-920696.5421
257.6,-920424.3577
257.8,-920716.6077
258.0,-921054.9538
258.2,-921044.7836
258.4,-920944.7872
258.6,-921114.3765
258.8,-921066.2908
259.0,-920968.5876
259.2,-920927.6879
259.4,-920963.2773
259.6,-921140.0998
259.8,-920843.4617
260.0,-920777.8803
260.2,-920731.6016
260.4,-920855.4011
260.6,-920943.286
260.8,-920925.1392
261.0,-920962.1726
261.2,-921008.4662
261.4,-921007.642
261.6,-921125.2631
261.8,-920940.3628
262.0,-921285.5057
262.2,-921110.191
262.4,-920999.0936
262.6,-921129.5584
262.8,-920730.4247
263.0,-920740.3418
263.2,-920732.6081
263.4,-920613.1569
263.6,-920980.8881
263.8,-921180.1497
264.0,-921110.2828
264.2,-920920.0771
264.4,-920533.49
264.6,-921091.2823
264.8,-920779.4449
265.0,-920704.7865
265.2,-921205.4602
265.4,-921268.4575
265.6,-921089.6542
265.8,-920874.8529
266.0,-920680.6163
266.2,-921005.1591
266.4,-920962.3767
266.6,-921149.6402
266.8,-921196.3883
267.0,-921029.8582
267.2,-921056.4464
267.4,-921354.9592
267.6,-920808.9034
267.8,-921108.8443
268.0,-921246.7856
268.2,-920894.4048
268.4,-921119.8762
268.6,-921380.4463
268.8,-921342.4213
269.0,-920854.8035
269.2,-920925.8818
269.4,-921171.6007
269.6,-921617.0353
269.8,-921157.5001
270.0,-921212.5077
270.2,-921138.9623
270.4,-921208.2416
