Time (ps),ETOT
113.8,-569139.6619
114.0,-569205.1842
114.2,-569388.4515
114.4,-569148.1737
114.6,-569300.862
114.8,-569102.1816
115.0,-569211.2034
115.2,-569404.6777
115.4,-569512.7179
115.6,-569255.0379
115.8,-569449.8177
116.0,-569411.4975
116.2,-569047.629
116.4,-568986.8605
116.6,-569010.1826
116.8,-569038.3324
117.0,-569162.5258
117.2,-568956.5083
117.4,-569167.8267
117.6,-569364.9836
117.8,-569584.2953
118.0,-569273.1309
118.2,-569257.5968
118.4,-569195.1457
118.6,-569633.809
118.8,-569207.1523
119.0,-569392.3515
119.2,-569213.729
119.4,-569118.2546
119.6,-569210.0906
119.8,-569125.0778
120.0,-569286.8256
120.2,-569469.4112
120.4,-569565.9907
120.6,-569647.9384
120.8,-569419.8306
121.0,-569718.2504
121.2,-569673.0655
121.4,-569650.0304
121.6,-569364.5237
121.8,-569627.9356
122.0,-569663.0662
122.2,-569577.4455
122.4,-569476.4292
122.6,-569686.3783
122.8,-569855.101
123.0,-569589.6287
123.2,-569694.9847
123.4,-569627.1283
123.6,-569477.197
123.8,-569634.7079
124.0,-569655.3327
124.2,-569536.9707
124.4,-569381.4322
124.6,-569312.4911
124.8,-569712.6096
125.0,-569811.1844
125.2,-569703.9515
125.4,-569888.0216
125.6,-569920.1159
125.8,-569837.5359
126.0,-569698.0157
126.2,-569899.5432
126.4,-569936.3859
126.6,-569293.7301
126.8,-569818.9805
127.0,-569562.0511
127.2,-569978.208
127.4,-570002.7059
127.6,-569974.8194
127.8,-569708.5138
128.0,-569848.9012
128.2,-570018.268
128.4,-570411.3217
128.6,-570324.9969
128.8,-569906.9064
129.0,-569949.6528
129.2,-569599.6629
129.4,-569735.8573
129.6,-569917.4965
129.8,-569589.9245
130.0,-570143.1068
130.2,-570039.801
130.4,-569705.5721
130.6,-569291.3104
130.8,-569533.7958
131.0,-569943.2324
131.2,-569731.5907
131.4,-569714.1132
131.6,-570028.2544
131.8,-570206.9582
132.0,-569993.0976
132.2,-570245.4406
132.4,-569816.8944
132.6,-569737.9011
132.8,-569758.1783
133.0,-569649.4965
133.2,-569925.9173
133.4,-569498.9307
133.6,-569768.9874
133.8,-569992.7081
134.0,-570220.804
134.2,-570406.9051
134.4,-570312.065
134.6,-570164.7804
134.8,-570060.175
135.0,-570018.0782
135.2,-570173.3308
135.4,-570182.8639
135.6,-570179.8857
135.8,-570213.4317
136.0,-570025.5931
136.2,-569992.1557
136.4,-570235.1458
136.6,-570214.447
136.8,-570029.6895
137.0,-570652.8019
137.2,-570526.0249
137.4,-570187.0709
137.6,-570605.0159
137.8,-570126.6578
138.0,-569965.6331
138.2,-569752.8027
138.4,-569822.4168
138.6,-569942.855
138.8,-569927.7763
139.0,-569825.8929
139.2,-570102.5739
139.4,-570317.446
139.6,-570584.9634
139.8,-570458.9306
140.0,-570337.8318
140.2,-570495.9671
140.4,-570414.1365
140.6,-570653.3225
140.8,-571087.2419
141.0,-571005.454
141.2,-571216.257
141.4,-571104.8964
141.6,-570722.2719
141.8,-570685.5449
142.0,-570414.456
142.2,-570461.4981
142.4,-570473.7488
142.6,-570542.7217
142.8,-570294.0564
143.0,-570013.7097
143.2,-569933.2571
143.4,-569977.8589
143.6,-570002.117
143.8,-570291.9367
144.0,-570227.5198
144.2,-570090.5957
144.4,-570706.2487
144.6,-570643.4468
144.8,-570674.8119
145.0,-570458.7316
145.2,-570367.0847
145.4,-570451.258
145.6,-570684.9485
145.8,-570470.9453
146.0,-570433.3772
146.2,-570253.8719
146.4,-570432.8833
