Time (ps),TEMP
154.8,299.87
155.0,299.46
155.2,298.82
155.4,298.55
155.6,301.13
155.8,300.04
156.0,299.87
156.2,300.05
156.4,299.43
156.6,298.79
156.8,299.02
157.0,298.89
157.2,300.0
157.4,300.14
157.6,299.85
157.8,299.33
158.0,300.38
158.2,300.39
158.4,300.78
158.6,300.98
158.8,301.05
159.0,299.88
159.2,300.21
159.4,301.17
159.6,301.03
159.8,299.09
160.0,300.78
160.2,299.64
160.4,299.37
160.6,299.31
160.8,299.83
161.0,301.3
161.2,300.71
161.4,301.34
161.6,301.52
161.8,301.75
162.0,300.58
162.2,299.09
162.4,299.61
162.6,301.85
162.8,301.2
163.0,299.92
163.2,300.6
163.4,300.33
163.6,300.81
163.8,300.7
164.0,300.84
164.2,301.06
164.4,299.7
164.6,300.66
164.8,300.09
165.0,300.06
165.2,301.1
165.4,298.8
165.6,299.78
165.8,300.48
166.0,301.16
166.2,301.08
166.4,299.87
166.6,300.93
166.8,300.59
167.0,298.28
167.2,299.01
167.4,300.63
167.6,300.13
167.8,299.43
168.0,298.68
168.2,298.82
168.4,299.82
168.6,299.26
168.8,299.58
169.0,298.6
169.2,299.09
169.4,299.8
169.6,300.3
169.8,299.36
170.0,299.57
170.2,297.45
170.4,298.5
170.6,300.42
170.8,299.76
171.0,298.85
171.2,299.38
171.4,299.75
171.6,301.04
171.8,299.95
172.0,299.23
172.2,300.31
172.4,300.93
172.6,300.71
172.8,300.38
173.0,299.51
173.2,300.52
173.4,300.79
173.6,302.27
173.8,301.21
174.0,302.15
174.2,299.62
174.4,301.31
174.6,300.25
174.8,299.79
175.0,299.64
175.2,301.23
175.4,301.31
175.6,299.91
175.8,299.64
176.0,299.65
176.2,301.69
176.4,301.85
176.6,303.16
176.8,301.09
177.0,300.72
177.2,301.01
177.4,300.7
177.6,301.46
177.8,300.82
178.0,300.26
178.2,299.82
178.4,300.45
178.6,301.1
178.8,299.69
179.0,299.39
179.2,300.12
179.4,299.44
179.6,298.84
179.8,298.91
180.0,298.68
180.2,300.42
180.4,299.77
180.6,299.98
180.8,301.82
181.0,301.69
181.2,299.44
181.4,299.96
181.6,300.72
181.8,301.65
182.0,300.96
182.2,301.48
182.4,300.37
182.6,300.28
182.8,302.01
183.0,302.89
183.2,301.18
183.4,301.9
183.6,299.56
183.8,300.13
184.0,300.39
184.2,301.21
184.4,300.0
184.6,299.54
184.8,299.82
185.0,299.15
185.2,299.76
185.4,301.51
185.6,300.12
185.8,300.95
186.0,301.36
186.2,300.26
186.4,299.6
186.6,300.0
186.8,300.42
187.0,299.49
187.2,300.0
187.4,299.66
187.6,299.84
187.8,298.77
188.0,300.08
188.2,298.46
188.4,298.96
188.6,299.0
188.8,299.92
189.0,299.83
189.2,300.28
189.4,302.14
189.6,300.82
189.8,301.23
190.0,300.27
190.2,301.28
190.4,300.5
190.6,300.38
190.8,301.86
191.0,299.84
191.2,299.96
191.4,300.62
191.6,300.91
191.8,299.93
192.0,300.69
192.2,300.58
192.4,299.25
192.6,299.42
192.8,301.93
193.0,300.36
193.2,300.17
193.4,298.91
193.6,300.89
193.8,298.92
194.0,300.61
194.2,298.76
194.4,299.22
194.6,298.89
194.8,301.85
195.0,298.85
195.2,299.0
195.4,299.8
195.6,300.37
195.8,300.39
196.0,299.77
196.2,298.68
196.4,299.37
196.6,298.4
196.8,301.1
197.0,300.42
197.2,301.44
197.4,299.33
197.6,301.36
197.8,299.04
198.0,301.96
198.2,299.15
198.4,300.9
198.6,300.87
198.8,298.53
199.0,299.89
199.2,298.16
199.4,300.52
199.6,298.96
199.8,299.33
200.0,299.3
200.2,300.13
200.4,299.94
200.6,299.83
200.8,300.48
201.0,301.35
201.2,299.89
201.4,298.81
201.6,299.8
201.8,298.77
202.0,297.28
202.2,298.99
202.4,298.08
202.6,298.35
202.8,298.49
203.0,298.34
203.2,298.88
203.4,299.64
203.6,298.29
203.8,298.4
204.0,299.75
204.2,297.57
204.4,299.71
204.6,298.97
204.8,299.49
205.0,298.24
205.2,299.43
205.4,299.56
205.6,299.92
205.8,299.2
206.0,299.59
206.2,300.88
206.4,301.14
206.6,301.16
206.8,300.19
207.0,299.34
207.2,299.13
207.4,302.06
207.6,299.98
207.8,298.79
208.0,300.03
208.2,300.57
208.4,301.0
208.6,300.59
208.8,298.86
209.0,299.25
209.2,301.83
209.4,300.69
209.6,299.79
209.8,299.72
210.0,299.84
210.2,300.36
