Time (ps),EKTOT
153.6,89911.7957
153.8,90084.729
154.0,89994.8025
154.2,90052.8221
154.4,90266.8143
154.6,90174.1013
154.8,90364.7671
155.0,90057.8186
155.2,90015.7604
155.4,89988.9157
155.6,90036.8477
155.8,90085.6598
156.0,89978.831
156.2,89789.1496
156.4,90008.6362
156.6,90350.8087
156.8,90140.9892
157.0,89984.2778
157.2,90032.2824
157.4,90127.2435
157.6,90103.8395
157.8,90252.3493
158.0,89932.0061
158.2,90197.9073
158.4,90502.2621
158.6,90189.1412
158.8,90095.982
159.0,89906.7766
159.2,90533.2042
159.4,90413.836
159.6,90169.4286
159.8,90246.5638
160.0,90224.7381
160.2,90309.6077
160.4,90375.5696
160.6,90363.4349
160.8,90088.1724
161.0,90251.3902
161.2,90141.8188
161.4,90247.1932
161.6,90533.6996
161.8,90172.8862
162.0,90478.6658
162.2,90550.9995
162.4,90065.314
162.6,89978.4917
162.8,89815.8254
163.0,90216.9461
163.2,89937.0163
163.4,90104.9733
163.6,90309.2329
163.8,90114.7383
164.0,89916.9736
164.2,90192.2861
164.4,89688.2405
164.6,89885.2195
164.8,89940.8318
165.0,89913.2738
165.2,90255.8358
165.4,90067.4907
165.6,89825.8526
165.8,90224.7939
166.0,90256.6591
166.2,90379.9087
166.4,90354.7414
166.6,90305.598
166.8,90377.7019
167.0,90280.415
167.2,90129.8428
167.4,90611.0839
167.6,90368.0479
167.8,89767.4055
168.0,89873.1824
168.2,89950.0189
168.4,89771.6517
168.6,89957.2921
168.8,89774.9657
169.0,89937.4093
169.2,90095.517
169.4,90131.3112
169.6,90238.2036
169.8,90190.2391
170.0,89996.5093
170.2,89722.8333
170.4,89904.6593
170.6,90128.1957
170.8,90002.8198
171.0,89817.2999
171.2,89887.0635
171.4,89930.1807
171.6,89667.5313
171.8,89813.9638
172.0,89670.3252
172.2,89504.7411
172.4,90196.6547
172.6,90298.9733
172.8,90029.9073
173.0,89967.8595
173.2,90028.5427
173.4,90253.1068
173.6,90257.0988
173.8,90229.8012
174.0,90126.7052
174.2,90016.1567
174.4,90224.8202
174.6,89932.1562
174.8,90305.7712
175.0,90009.3531
175.2,90409.1895
175.4,90278.2867
175.6,90272.0371
175.8,90386.2796
176.0,90484.4033
176.2,90382.2837
176.4,90239.4341
176.6,90346.8157
176.8,89883.3237
177.0,90024.1007
177.2,89762.7025
177.4,90469.4027
177.6,90087.1002
177.8,89798.0348
178.0,89708.673
178.2,89814.3641
178.4,90074.8807
178.6,89902.0029
178.8,90019.1327
179.0,90167.6164
179.2,90135.9141
179.4,89671.6406
179.6,89716.0062
179.8,89692.966
180.0,90221.1879
180.2,89931.8637
180.4,89958.5418
180.6,89847.039
180.8,89824.5081
181.0,90106.1891
181.2,89748.4714
181.4,90097.4219
181.6,90553.554
181.8,90061.0442
182.0,90109.3861
182.2,90127.288
182.4,90278.4789
182.6,89965.3746
182.8,89969.3892
183.0,90082.9204
183.2,90238.705
183.4,89902.1012
183.6,90009.9447
183.8,90367.3629
184.0,90184.4534
184.2,90016.4454
184.4,90349.4709
184.6,90304.1492
184.8,89520.6411
185.0,90045.072
185.2,89757.8866
185.4,90070.0824
185.6,90050.6573
185.8,90456.2687
186.0,90247.6151
186.2,90195.8514
186.4,90345.3089
186.6,90053.1151
186.8,90228.8589
187.0,90674.5393
187.2,89955.77
187.4,90163.6467
187.6,90178.3937
187.8,89857.2205
188.0,89800.8827
188.2,89604.3063
188.4,90075.8454
188.6,89641.425
188.8,90156.5802
189.0,90036.3682
189.2,90042.8581
189.4,90061.9149
189.6,90298.531
189.8,90279.0172
190.0,90346.5234
190.2,89938.4056
190.4,89821.2534
190.6,90233.098
190.8,90147.2859
191.0,90054.2304
191.2,90091.5799
191.4,90310.8267
191.6,90071.2011
191.8,89567.1541
192.0,89934.468
192.2,90077.8505
192.4,90107.6243
192.6,90405.42
192.8,90852.5467
193.0,90502.9307
193.2,90333.5225
193.4,90499.3816
193.6,90119.1849
193.8,90248.6516
194.0,90314.4701
194.2,90132.0514
194.4,90539.6706
194.6,89956.9127
194.8,89809.8063
195.0,89609.0991
195.2,90289.2249
195.4,90005.8037
195.6,90649.356
195.8,90490.0326
196.0,90158.9977
196.2,89867.933
196.4,89577.7304
196.6,90084.8572
196.8,89611.6227
197.0,89755.3702
197.2,89697.1553
197.4,89889.0021
197.6,90186.0991
197.8,90123.4033
198.0,89805.7364
198.2,89873.0808
198.4,89823.0374
198.6,90057.2118
198.8,89458.011
199.0,89939.9806
199.2,90401.8809
199.4,90179.5762
199.6,89920.4715
199.8,89952.8649
200.0,89576.4831
200.2,90056.1389
200.4,89699.3828
200.6,90026.6815
200.8,90099.5909
201.0,89779.7408
201.2,90102.2983
201.4,89703.4811
201.6,90060.7983
201.8,89966.8991
202.0,89650.8097
202.2,89871.3262
202.4,89936.9047
202.6,89849.6002
202.8,89834.174
203.0,90523.1761
203.2,90061.0267
203.4,89884.8841
203.6,90060.9281
203.8,90280.1029
204.0,90530.3654
204.2,89457.1
204.4,90264.2503
204.6,89877.9658
204.8,89922.76
205.0,90379.7067
205.2,89737.632
205.4,90193.5241
205.6,90099.0823
205.8,89867.0969
206.0,90017.8127
206.2,89885.1555
206.4,89952.711
206.6,89969.0299
206.8,90163.552
207.0,90110.6631
207.2,90112.1717
207.4,90147.8325
207.6,89880.2091
207.8,90042.8337
208.0,90311.9042
208.2,90053.6684
208.4,90030.0302
208.6,90058.8482
208.8,90198.7406
209.0,90008.3906
209.2,89983.4351
209.4,90238.4441
209.6,90186.2365
209.8,90461.757
210.0,90063.8361
210.2,90263.1192
210.4,90483.5616
210.6,90283.3224
210.8,90428.6636
211.0,90306.2687
211.2,89955.7589
211.4,89915.375
211.6,90140.0498
211.8,90242.5157
212.0,90029.5102
212.2,90228.6186
212.4,89954.2592
212.6,89709.9684
212.8,90315.4494
213.0,90308.3379
213.2,90227.1241
213.4,90407.6613
213.6,90950.5633
213.8,90660.6827
214.0,90212.1866
214.2,90304.8564
214.4,90399.3752
214.6,89991.5757
214.8,90176.7534
215.0,90053.1401
215.2,89949.3455
215.4,90091.805
215.6,90035.6216
215.8,90042.0147
216.0,89777.2568
216.2,90063.4442
216.4,89713.1096
216.6,89891.1972
216.8,89786.4741
217.0,89947.3516
217.2,90252.2612
217.4,89807.8344
217.6,89889.3491
217.8,90062.1289
218.0,90272.2214
218.2,90359.6353
218.4,90353.8416
218.6,90037.193
218.8,89979.2951
219.0,90087.9914
219.2,89823.5652
219.4,89791.4231
219.6,89737.4295
219.8,89762.3014
220.0,89655.8594
220.2,89872.3792
220.4,90092.1265
220.6,90283.7194
220.8,90354.9322
221.0,90199.2168
221.2,90247.2265
221.4,90059.0559
221.6,90160.591
221.8,89735.3261
222.0,90119.7149
222.2,90204.5485
222.4,89680.6881
222.6,90023.1011
222.8,90020.1806
223.0,89809.8393
223.2,89997.3381
223.4,89896.3105
223.6,89695.1103
223.8,89921.2003
224.0,90397.5852
224.2,89973.5306
224.4,90414.0191
224.6,90858.9965
224.8,90175.1717
