Time (ps),Radius of gyration ($\AA$)
6480.0,31.414071437277723
6500.0,31.425842227440263
6520.0,31.4319290019493
6540.0,31.403712086470126
6560.0,31.426979010621995
6580.0,31.4044492416747
6600.0,31.40666711664684
6620.0,31.41202420484085
6640.0,31.38348515558884
6660.0,31.426222729975034
6680.0,31.38611137902683
6700.0,31.421687638294763
6720.0,31.44258759033341
6740.0,31.443201227649713
6760.0,31.45785861052082
6780.0,31.419211882045904
6800.0,31.40434048261388
6820.0,31.417288241133146
6840.0,31.372286746640274
6860.0,31.391514643599177
6880.0,31.41499792366273
6900.0,31.395738237033243
6920.0,31.406422524983316
6940.0,31.378049784871408
6960.0,31.43301615044351
6980.0,31.388801646799983
7000.0,31.39732664604553
7020.0,31.401839165684475
7040.0,31.392434910153433
7060.0,31.41296737972042
7080.0,31.412012992247224
7100.0,31.409206012963
7120.0,31.382514691732588
7140.0,31.422413292817513
7160.0,31.394395061509897
7180.0,31.381512864128865
7200.0,31.373042854641728
7220.0,31.424117850083043
7240.0,31.40620820601788
7260.0,31.41013234696797
7280.0,31.41629038809753
7300.0,31.38876897588689
7320.0,31.39063091323963
7340.0,31.419792625214832
7360.0,31.43819372097745
7380.0,31.40999506368462
7400.0,31.419772904989177
7420.0,31.3749522392437
7440.0,31.391097711834636
7460.0,31.376099864414524
7480.0,31.36787318663028
7500.0,31.428983131008707
7520.0,31.390276228949187
7540.0,31.398803023535983
7560.0,31.40332300036799
7580.0,31.40153371373004
7600.0,31.400907362558875
7620.0,31.40534052250609
7640.0,31.436985120645907
7660.0,31.390728725637207
7680.0,31.411195688198557
7700.0,31.42219110953147
7720.0,31.414996763722204
7740.0,31.40699932683095
7760.0,31.43143014118715
7780.0,31.39894081082877
7800.0,31.41272794159231
7820.0,31.39122828377095
7840.0,31.40270713131844
7860.0,31.42331740639499
7880.0,31.402105387061102
7900.0,31.402203151256533
7920.0,31.416248225828205
7940.0,31.38905450319019
7960.0,31.415189206833013
7980.0,31.390471756240373
8000.0,31.445940635993768
8020.0,31.420475833542536
8040.0,31.40311957693525
8060.0,31.413916820449824
8080.0,31.41026085799799
8100.0,31.413470701870114
8120.0,31.425891685435158
8140.0,31.389575765696225
8160.0,31.450525317965234
8180.0,31.444118357231556
8200.0,31.38575480386099
8220.0,31.39888344461335
8240.0,31.43990611487697
8260.0,31.40900459201256
8280.0,31.38554185576284
8300.0,31.377059016199134
8320.0,31.427848847689884
8340.0,31.40442412459028
8360.0,31.424292115516288
8380.0,31.4323060915354
8400.0,31.4202920112162
8420.0,31.388900883570656
8440.0,31.423003369105707
8460.0,31.403250941450526
8480.0,31.411739684677897
8500.0,31.386111788766236
8520.0,31.382667434819957
8540.0,31.405255700657147
8560.0,31.433806761766917
8580.0,31.419620926074867
8600.0,31.456677728476215
8620.0,31.435012055324037
8640.0,31.384449028061383
8660.0,31.410777334982537
8680.0,31.399802833457887
8700.0,31.413937770456695
8720.0,31.433479397355597
8740.0,31.425519114538776
8760.0,31.393539115387032
8780.0,31.392668830413733
8800.0,31.387616374288218
8820.0,31.398349889523733
8840.0,31.395624690555604
8860.0,31.40036564893649
8880.0,31.40618338446169
8900.0,31.425300395746497
8920.0,31.388479745640236
8940.0,31.41034930355411
8960.0,31.388890181690087
8980.0,31.40526495982079
9000.0,31.43106944526251
